geoid,tract_name,as_of,nowcast_gap,baseline_gap,delta,uncertainty,coverage_score
36119008403,Census Tract 84.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119008404,Census Tract 84.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119008500,Census Tract 85,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119008602,Census Tract 86.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119008700,Census Tract 87,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119008801,Census Tract 88.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119008802,Census Tract 88.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119008901,Census Tract 89.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119008902,Census Tract 89.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119009000,Census Tract 90,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119009100,Census Tract 91,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119009201,Census Tract 92.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119009202,Census Tract 92.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119009300,Census Tract 93,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119009400,Census Tract 94,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119009500,Census Tract 95,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119009600,Census Tract 96,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119009701,Census Tract 97.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119009702,Census Tract 97.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119009703,Census Tract 97.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119009800,Census Tract 98,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119009900,Census Tract 99,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119010000,Census Tract 100,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119010100,Census Tract 101,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119010200,Census Tract 102,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119010300,Census Tract 103,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119010400,Census Tract 104,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119010500,Census Tract 105,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119010600,Census Tract 106,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119010701,Census Tract 107.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119010702,Census Tract 107.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119010801,Census Tract 108.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119010803,Census Tract 108.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119010804,Census Tract 108.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119010901,Census Tract 109.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119010902,Census Tract 109.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119010903,Census Tract 109.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119011000,Census Tract 110,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119011101,Census Tract 111.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119011102,Census Tract 111.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119011200,Census Tract 112,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
